datetime,open,high,low,close,volume,RSI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHk_14_3_3,STOCHd_14_3_3,SMA_10,EMA_10
2016-04-26 09:00:00,3.828,3.828,3.748,3.768,40550000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-27 09:00:00,3.768,3.772,3.744,3.752,26332000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-28 09:00:00,3.76,3.776,3.728,3.74,40222500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-29 09:00:00,3.736,3.748,3.712,3.74,60366500.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-03 09:00:00,3.78,3.82,3.704,3.712,20143000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-04 09:00:00,3.716,3.792,3.712,3.784,16750500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-05 09:00:00,3.748,3.772,3.736,3.752,16735500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-06 09:00:00,3.752,3.8,3.72,3.792,14570000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-09 09:00:00,3.764,3.832,3.764,3.812,26326500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-10 09:00:00,3.824,3.84,3.772,3.796,43549999.99999999,0.0,0.0,0.0,0.0,0.0,0.0,3.7647999999999997,3.7647999999999997
2016-05-11 09:00:00,3.8,3.82,3.788,3.792,24530500.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7672,3.769745454545454
2016-05-12 09:00:00,3.788,3.812,3.78,3.8,12782000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7720000000000007,3.775246280991735
2016-05-13 09:00:00,3.812,3.82,3.78,3.808,35661000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7788000000000004,3.781201502629601
2016-05-16 09:00:00,3.792,3.808,3.792,3.8,23152500.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7847999999999997,3.7846194112424003
2016-05-17 09:00:00,3.8,3.84,3.8,3.832,24529000.0,65.17810632395997,0.0,0.0,0.0,0.0,0.0,3.7967999999999997,3.793234063743782
2016-05-18 09:00:00,3.824,3.856,3.804,3.832,31069000.0,65.17810632395998,0.0,0.0,0.0,82.97213622291015,0.0,3.8015999999999996,3.8002824157903667
2016-05-19 09:00:00,3.808,3.824,3.78,3.82,27815500.0,60.55771533579726,0.0,0.0,0.0,84.88132094943235,0.0,3.8084000000000002,3.8038674311012093
2016-05-20 09:00:00,3.82,3.836,3.8,3.832,17360000.0,63.35523778952884,0.0,0.0,0.0,81.578947368421,83.14413484692118,3.8123999999999993,3.808982443628262
2016-05-23 09:00:00,3.832,3.86,3.808,3.856,15914000.0,68.2114428097194,0.0,0.0,0.0,85.94120436225695,84.13382422670344,3.8167999999999997,3.817531090241305
2016-05-24 09:00:00,3.856,3.86,3.832,3.836,23084000.0,60.96135667048508,0.0,0.0,0.0,88.12165549007649,85.21393574025149,3.8207999999999998,3.820889073833795
